id;gender;ssc_pct;ssc_board;hsc_pct;hsc_board;hsc_stream;degree_pct;degree_type;work_exp;emptest_pct;stream;mba_pct
20001;Female;65.16;Central Board;57.82;Central Board;Commerce;73.0;Commerce & Mgmt;No;57.16;HR;59.88
20002;Male;60.47;State Board;49.34;State Board;Science;55.33;Science & Tech;No;72.7;Finance;67.63
20003;Male;;Central Board;55.47;Central Board;Commerce;50.46;Commerce & Mgmt;No;67.0;HR;62.84
20004;Male;78.44;State Board;49.02;State Board;Science;63.66;Science & Tech;Yes;64.0;Finance;72.82
20005;Male;80.66;Central Board;75.64;Central Board;Science;81.48;Science & Tech;Yes;77.39;HR;77.62
20006;Female;85.12;State Board;92.93;State Board;Commerce;77.04;Commerce & Mgmt;Yes;73.89;Finance;76.85
20007;Male;69.6;Central Board;68.4;Central Board;Commerce;78.3;Commerce & Mgmt;;60.0;Finance;
20008;Male;70.28;State Board;59.45;State Board;Commerce;64.82;Commerce & Mgmt;No;88.02;Finance;52.38
20009;Female;67.72;Central Board;73.28;Central Board;Commerce;63.85;Commerce & Mgmt;No;52.3;Finance;64.96
20010;Female;84.25;State Board;52.61;State Board;Science;90.49;Science & Tech;No;59.37;HR;69.82
20011;Male;53.55;Central Board;63.55;State Board;Science;63.29;Commerce & Mgmt;Yes;68.9;Finance;51.99
20012;Male;56.3;State Board;60.43;State Board;Commerce;58.74;Commerce & Mgmt;No;55.74;HR;52.32
20013;Male;74.2;Central Board;87.6;State Board;Commerce;77.25;Commerce & Mgmt;Yes;75.2;Finance;66.06
20014;Female;47.88;Central Board;51.03;Central Board;Commerce;57.91;Commerce & Mgmt;Yes;60.0;HR;58.8
20015;Male;63.07;State Board;71.45;State Board;Commerce;61.31;Commerce & Mgmt;No;67.98;Finance;67.15
20016;Male;59.96;Central Board;66.44;Central Board;Arts;73.2;Commerce & Mgmt;No;86.6;Finance;62.03
20017;Male;72.48;Central Board;66.62;State Board;Commerce;79.09;Commerce & Mgmt;Yes;879.03;HR;63.22
20018;Female;78.0;Central Board;88.58;State Board;Arts;67.88;Commerce & Mgmt;Yes;91.96;Finance;63.0
20019;Female;77.19;State Board;60.44;State Board;Commerce;67.26;Commerce & Mgmt;Yes;57.41;Finance;60.34
20020;Male;73.0;Central Board;78.0;Central Board;Science;73.0;Science & Tech;Yes;;HR;65.83
20021;Male;58.0;State Board;61.0;State Board;Commerce;61.0;Commerce & Mgmt;No;58.0;HR;53.94
20022;Male;54.2;Central Board;63.0;State Board;Science;58.0;Commerce & Mgmt;No;79.0;HR;58.44
20023;Male;74.11;Central Board;94.28;State Board;Commerce;67.96;Commerce & Mgmt;Yes;90.56;Finance;67.38
20024;Male;81.68;State Board;63.14;State Board;Science;67.34;Commerce & Mgmt;Yes;85.8;Finance;70.52
20025;Female;75.47;State Board;;State Board;Arts;85.6;Commerce & Mgmt;Yes;90.02;Finance;
20026;Male;63.0;State Board;67.0;State Board;Commerce;66.0;Commerce & Mgmt;No;68.0;HR;57.69
20027;Male;63.43;State Board;62.72;State Board;Commerce;69.62;Commerce & Mgmt;No;64.43;;63.51
20028;Male;82.28;State Board;60.63;State Board;Science;65.31;Commerce & Mgmt;Yes;85.66;Finance;69.92
20029;Male;63.0;Central Board;66.2;Central Board;Commerce;65.6;Commerce & Mgmt;Yes;60.0;Finance;62.54
20030;Female;59.89;Central Board;80.02;State Board;Commerce;74.0;Commerce & Mgmt;No;80.0;Finance;77.58
20031;Female;83.96;State Board;53.0;State Board;Science;91.0;Science & Tech;No;59.32;HR;69.71
20032;Female;68.96;State Board;77.46;State Board;Science;65.97;Commerce & Mgmt;No;69.86;HR;72.79
20033;Male;51.08;State Board;65.84;State Board;Arts;56.58;Other Degree;Yes;73.32;Finance;60.38
20034;Male;66.53;State Board;63.36;Central Board;Science;73.89;Commerce & Mgmt;No;71.53;;57.68
20035;Male;75.25;;58.38;State Board;Arts;75.49;Commerce & Mgmt;;62.8;HR;55.64
20036;Female;77.73;Central Board;58.51;State Board;Science;71.24;Commerce & Mgmt;No;80.24;HR;63.75
20037;Male;62.0;State Board;61.29;State Board;Commerce;;Commerce & Mgmt;Yes;60.18;HR;51.61
20038;Female;64.0;Central Board;73.5;Central Board;Commerce;73.0;Commerce & Mgmt;No;52.0;HR;56.7
20039;Male;86.54;State Board;65.96;State Board;Science;80.07;Commerce & Mgmt;No;97.34;Finance;67.66
20040;Female;70.5;Central Board;62.5;State Board;Commerce;61.0;Commerce & Mgmt;No;93.91;Finance;69.03
20041;Male;84.2;Central Board;73.4;Central Board;Commerce;;Commerce & Mgmt;;61.6;Finance;
20042;Male;52.0;Central Board;49.0;State Board;Commerce;58.0;Commerce & Mgmt;No;62.0;HR;60.59
20043;Female;62.22;State Board;68.9;Central Board;Commerce;59.68;Commerce & Mgmt;No;50.18;Finance;60.8
20044;Male;49.0;State Board;39.0;Central Board;Science;65.0;Other Degree;No;63.0;Finance;51.21
20045;Male;72.92;Central Board;81.55;Central Board;Science;78.48;Science & Tech;Yes;97.52;HR;74.37
20046;Female;55.05;State Board;52.76;State Board;Science;52.71;Science & Tech;No;72.34;HR;59.72
20047;Male;58.0;Central Board;62.0;Central Board;Commerce;64.0;Commerce & Mgmt;No;53.88;Finance;54.97
20048;Male;63.0;State Board;67.18;State Board;Science;64.0;Science & Tech;No;76.24;Finance;66.88
20049;Male;66.46;Central Board;70.46;Central Board;Science;64.15;Other Degree;Yes;62.37;HR;62.33
20050;Male;66.45;Central Board;80.64;Central Board;Commerce;70.86;Commerce & Mgmt;Yes;97.59;Finance;72.24
20051;Male;78.5;Central Board;71.31;Central Board;Commerce;57.88;Commerce & Mgmt;Yes;58.56;Finance;53.72
20052;Female;76.4;Central Board;64.79;Central Board;Science;72.3;Science & Tech;No;58.24;HR;66.62
